id_const,territorio,id_tiempo,tipo,unidad,valor
461,"Asturias, Principado de",202408,Mercantiles,Número de Sociedades,127
462,"Asturias, Principado de",202407,Mercantiles,Número de Sociedades,90
463,"Asturias, Principado de",202406,Mercantiles,Número de Sociedades,122
464,"Asturias, Principado de",202405,Mercantiles,Número de Sociedades,136
465,"Asturias, Principado de",202404,Mercantiles,Número de Sociedades,127
466,"Asturias, Principado de",202403,Mercantiles,Número de Sociedades,136
467,"Asturias, Principado de",202402,Mercantiles,Número de Sociedades,183
468,"Asturias, Principado de",202401,Mercantiles,Número de Sociedades,136
469,"Asturias, Principado de",202312,Mercantiles,Número de Sociedades,94
470,"Asturias, Principado de",202311,Mercantiles,Número de Sociedades,89
471,"Asturias, Principado de",202310,Mercantiles,Número de Sociedades,105
472,"Asturias, Principado de",202309,Mercantiles,Número de Sociedades,88
473,"Asturias, Principado de",202308,Mercantiles,Número de Sociedades,83
