id_dis,territorio,id_tiempo,razon,numero_sociedades
542,"Asturias, Principado de",201711,Voluntaria,25.0
543,"Asturias, Principado de",201710,Voluntaria,25.0
544,"Asturias, Principado de",201709,Voluntaria,15.0
545,"Asturias, Principado de",201708,Voluntaria,14.0
546,"Asturias, Principado de",201707,Voluntaria,15.0
547,"Asturias, Principado de",201706,Voluntaria,23.0
548,"Asturias, Principado de",201705,Voluntaria,32.0
549,"Asturias, Principado de",201704,Voluntaria,15.0
550,"Asturias, Principado de",201703,Voluntaria,38.0
551,"Asturias, Principado de",201702,Voluntaria,43.0
552,"Asturias, Principado de",201701,Voluntaria,62.0
553,"Asturias, Principado de",201612,Voluntaria,46.0
554,"Asturias, Principado de",201611,Voluntaria,41.0
555,"Asturias, Principado de",201610,Voluntaria,27.0
556,"Asturias, Principado de",201609,Voluntaria,14.0
557,"Asturias, Principado de",201608,Voluntaria,14.0
558,"Asturias, Principado de",201607,Voluntaria,11.0
559,"Asturias, Principado de",201606,Voluntaria,20.0
560,"Asturias, Principado de",201605,Voluntaria,22.0
561,"Asturias, Principado de",201604,Voluntaria,27.0
562,"Asturias, Principado de",201603,Voluntaria,22.0
563,"Asturias, Principado de",201602,Voluntaria,29.0
564,"Asturias, Principado de",201601,Voluntaria,51.0
565,"Asturias, Principado de",201512,Voluntaria,43.0
566,"Asturias, Principado de",201511,Voluntaria,18.0
567,"Asturias, Principado de",201510,Voluntaria,15.0
568,"Asturias, Principado de",201509,Voluntaria,11.0
569,"Asturias, Principado de",201508,Voluntaria,14.0
570,"Asturias, Principado de",201507,Voluntaria,13.0
571,"Asturias, Principado de",201506,Voluntaria,19.0
572,"Asturias, Principado de",201505,Voluntaria,18.0
573,"Asturias, Principado de",201504,Voluntaria,23.0
574,"Asturias, Principado de",201503,Voluntaria,34.0
575,"Asturias, Principado de",201502,Voluntaria,26.0
576,"Asturias, Principado de",201501,Voluntaria,57.0
577,"Asturias, Principado de",201412,Voluntaria,41.0
578,"Asturias, Principado de",201411,Voluntaria,38.0
579,"Asturias, Principado de",201410,Voluntaria,22.0
580,"Asturias, Principado de",201409,Voluntaria,15.0
581,"Asturias, Principado de",201408,Voluntaria,17.0
582,"Asturias, Principado de",201407,Voluntaria,20.0
583,"Asturias, Principado de",201406,Voluntaria,3.0
584,"Asturias, Principado de",201405,Voluntaria,23.0
585,"Asturias, Principado de",201404,Voluntaria,17.0
586,"Asturias, Principado de",201403,Voluntaria,36.0
587,"Asturias, Principado de",201402,Voluntaria,27.0
588,"Asturias, Principado de",201401,Voluntaria,47.0
589,"Asturias, Principado de",201312,Voluntaria,45.0
590,"Asturias, Principado de",201311,Voluntaria,27.0
591,"Asturias, Principado de",201310,Voluntaria,46.0
592,"Asturias, Principado de",201309,Voluntaria,20.0
593,"Asturias, Principado de",201308,Voluntaria,19.0
594,"Asturias, Principado de",201307,Voluntaria,17.0
595,"Asturias, Principado de",201306,Voluntaria,17.0
596,"Asturias, Principado de",201305,Voluntaria,32.0
