id_dis,id_tiempo,razon,numero_sociedades,id_territorio
876,200805,voluntaria,43,5
877,200804,voluntaria,41,5
878,200803,voluntaria,36,5
879,200802,voluntaria,64,5
880,200801,voluntaria,104,5
881,202604,voluntaria,97,6
882,202603,voluntaria,103,6
883,202602,voluntaria,112,6
884,202601,voluntaria,139,6
885,202512,voluntaria,156,6
886,202511,voluntaria,71,6
887,202510,voluntaria,85,6
888,202509,voluntaria,58,6
889,202508,voluntaria,40,6
890,202507,voluntaria,73,6
891,202506,voluntaria,45,6
892,202505,voluntaria,59,6
893,202504,voluntaria,71,6
894,202503,voluntaria,63,6
895,202502,voluntaria,72,6
896,202501,voluntaria,135,6
897,202412,voluntaria,130,6
898,202411,voluntaria,86,6
899,202410,voluntaria,61,6
900,202409,voluntaria,43,6
901,202408,voluntaria,59,6
902,202407,voluntaria,55,6
903,202406,voluntaria,54,6
904,202405,voluntaria,56,6
905,202404,voluntaria,84,6
906,202403,voluntaria,76,6
907,202402,voluntaria,96,6
908,202401,voluntaria,164,6
909,202312,voluntaria,88,6
910,202311,voluntaria,71,6
911,202310,voluntaria,48,6
912,202309,voluntaria,61,6
913,202308,voluntaria,53,6
914,202307,voluntaria,67,6
915,202306,voluntaria,69,6
916,202305,voluntaria,44,6
917,202304,voluntaria,55,6
918,202303,voluntaria,76,6
919,202302,voluntaria,87,6
920,202301,voluntaria,160,6
921,202212,voluntaria,105,6
922,202211,voluntaria,87,6
923,202210,voluntaria,57,6
